School_ID,School_Name,Spot1_Name,Spot1_Contentful_Id,Matching_Type,Distance_in_KM,Spot2_Name,Spot2_Contentful_Id,Matching_Type,Distance_in_KM,Spot3_Name,Spot3_Contentful_Id,Matching_Type,Distance_in_KM
3ArAIhtKxj5x6q4uFzy6F7,Pacific Kite,"Tahiti / Phaeton Bay, French Polynesia",4UYQEKz8aVNfaBcCRqBKsJ,Distance less than 100km,7.926845833,"Tahiti / Vairao, French Polynesia",2JnKtsAFXDxaBE22jS2o3r,Distance less than 100km,10.83468928,"Tahiti / Motu Nono, French Polynesia",4sAVKywRioUta5Z7mEigVG,Distance less than 100km,14.5629787
25gSxe9Td5vQAVPjUHksmm,kiteguate,"Lago Atitlan / Isla de los Gatos, Guatemala",6J9lXXLzZi75ErgIuoQ9hd,Distance less than 100km,5.040019167,"Amatitlan Lake, Guatemala",5IgE2SITVQgwyvOjuI1Ng3,Distance less than 100km,71.29224154,"Sipacate, Guatemala",3QyNUROgtnoIVSPKU5Tmyv,Distance less than 100km,85.675903
48ACCVa06k8Gm8mkY4Maiy,The Nest Kitesurfing - Youl,"Rodrigues / La Passe Sud Est, Mauritius",68Jogx0ENbKSHQoJ2SWM7s,Distance less than 100km,1.128180771,,,,,,,,
4SlNfroqPKWUAQ8OEgIay4,Adventure Kiteboarding,"Lake Michigan / South Shore, Wisconsin (USA)",6R3ctI598AzRySrpUICxtv,Distance less than 100km,22.56520534,"Lake Michigan / McKinley, Wisconsin (USA)",3CoGgZbE7BkFVcgrvW2ZZB,Distance less than 100km,26.91485597,"Pewaukee Lake / Pewaukee Beach, Wisconsin (USA)",4tCumFv7HYl6NRhn7s2cvm,Distance less than 100km,27.1215172
7k5h6ztOLGNnztrWvxrx7l,KiteSegnana,"Lake Garda / Malcesine, Italy",6udTZx4J4VBG4LWKrRsra3,Distance less than 100km,7.852825548,"Lake Garda / Navene, Italy",3PVHLQv5kiSOtCvibq6StR,Distance less than 100km,7.867060602,"Lake Garda / Limone, Italy",6fkLtRx5f5wawJ5itN3mnV,Distance less than 100km,9.335252103
6gZQhWq8Q8u4A6OeAWA0IG,361KITE,"Flour Bluff, Texas (USA)",1m6ePbnItEOQDu7NGu9SFD,Distance less than 100km,0.211680839,"Laguna Reef, Texas (USA)",4eKjqgj7pXkZT4SZuAvLTc,Distance less than 100km,0.303199037,"North Padre Island / Packery Channel, Texas (USA)",26Df4kmC8b7AH3OtG9NbHz,Distance less than 100km,8.126228967
2diALNyOhq22YWOiqWcwmQ,Eole Figari,"Corsica / Figari, France",4AhBL4JbgcthwGy8tNG2kQ,Distance less than 100km,1.823228032,"Corsica / La Punta, France",5NsQ0Ck7phLsXiVySrDG3A,Distance less than 100km,4.352623003,"Corsica / La Tonnara, France",1S4XzHokRcmBkiqPWXdKxb,Distance less than 100km,6.436780399
YINCO79VIc6iaa8yUm8Im,Windykite,"Leucate-Plage, France",1SBWL2cBGpFfjipLagcI3M,Distance less than 100km,1.496496606,"Etang de Leucate / Les Pecheurs, France",73JBWLOjS8QmPM1zh9rlVV,Distance less than 100km,1.626587387,"Etang de Leucate / La Mine, France",4cEaaXhjmoyKZOrLhUnJi9,Distance less than 100km,2.077612475
6R69u2Memkcmq8AGIcsQMo,Just in kite,"Sainte-Anne Kitebeach, Guadeloupe",5GgUqg4KRlDkhON4BcGMJo,Distance less than 100km,0.709342675,"Sainte-Anne, Guadeloupe",SO6vkybOBOFlrwRT7l3DY,Distance less than 100km,2.455195969,"Saline, Guadeloupe",1pkxvmMe6xX5B18riBIyfg,Distance less than 100km,8.995310412
2PRyNpwLjGu462OKGEKOWO,Kitesurfing.no,"Solastranden, Norway",4WDP7572AJB89QSmhs88LA,Distance less than 100km,0.644409103,"Hafrsfjord, Norway",4Oomzf8qkB5D9Y9uXTp47W,Distance less than 100km,4.668711244,"Borestrand, Norway",43pZSn9PKZqd1dtTV34Ewk,Distance less than 100km,10.56019959
