ID,NAME,SLUG,LAT,LON
69q5wfophikcXKMdNwpk3L,Singapore Kitesurfing,singapore-kitesurfing,1.300784,103.9121
7hdvZtjRcwzWmjRjqhVR8U,Icelandic Kiting Adventures,icelandic-kiting-adventures,64.14658,-21.9426
74HEJ0MNVvnfn3xCqzwd0r,Wind Madness,wind-madness,49.21443,-2.13125
4JOZQxm1WcLwGswSdPoU8N,Zero-stress Kiteboarding,zero-stress-kiteboarding,60.20549,24.6559
6CBwSUtG0fUrtOSUBVvQ9I,Gelebara Kite Club,gelebara-kite-club,-9.4438,147.1802
35JPiwUEPTYY31XdGAqJd4,Mr Kitesurfing,mr-kitesurfing,35.8245,10.63458
3LkAlSEZZgNdnz4eQ8ACdW,Duk kite Angola,duk-kite-angola,-8.78666,13.23222
23qVfc05y0XoZGKeovbuDi,Kitesurf Bariloche,kitesurf-bariloche,-41.1334,-71.3102
2NUtidD2ypHtHsEL80GE5m,Glory Kiteboarding,glory-kiteboarding,51.04473,-114.071
g4HTqlN4JHTrunjeuDQdP,COA Water Sports Kiteboarding,coa-water-sports-kiteboarding,20.13835,-87.4624
1rMMz8qAtFwH9m7yVaQReO,Full View Kitesurfing And Watersports,full-view-kitesurfing-and-watersports,20.13833,-87.4626
gsRFOXsFEhMHcvt7HnP65,Koox Kitesurfing Tulum,koox-kitesurfing-tulum,20.14134,-87.4611
3UDZSkmGlbMX8joS9WY46d,ProKiteTulum Kiteboarding,prokitetulum-kiteboarding,20.14272,-87.4603
15KLGkCYhqKEQ4qKgY6qe4,Mexican Caribbean Kitesurf,mexicancaribbeankitesurf,20.152189,-87.45751200000002
3dZX5iV9L21HL7XF9QTO59,Kitesurfing Sumbawa,kitesurfing-sumbawa,-8.97429,116.7427
4PZ3R47m4NmBPK05amUDHt,Kitespot Dreams,kitespot-dreams,42.26837,27.75328
5bB5d5opteEz7eVHaPcjER,Barlovento Kiteschool,barlovento-kiteschool,-41.1362,-71.3065
6hYCBN7oAuOrVO1vA1imtx,On Water Academy,on-water-academy,33.0374,-16.3625
2wmPgdkbSEGUgCr7DymZ1D,Learn2kite,learn2kite,47.4332,11.73076
1fBTdhE1Vd7huRPdgDy7mu,Kiteschule Kiteriders,kiteschule-kiteriders,47.86459,16.83466
